ID_item,item,training,crit,ID,est,domain
9,Egypt,1,71.8,p1zg6qqoufvv,71,Countries
9,Egypt,1,71.8,wlfzyxtuin3l,71.8,Countries
9,Egypt,1,71.8,hpajcjzog48v,71.3,Countries
9,Egypt,1,71.8,dlan9mr2iku8,75,Countries
9,Egypt,1,71.8,8xw3ufhwbsme,71,Countries
9,Egypt,1,71.8,7bagakupy07m,71.8,Countries
9,Egypt,1,71.8,jlx0jreulovy,75,Countries
9,Egypt,1,71.8,kp76hw01z3b2,71.8,Countries
9,Egypt,1,71.8,f52y9ezjwc9h,71.8,Countries
9,Egypt,1,71.8,ev2fnz9nxtx2,71.6,Countries
9,Egypt,1,71.8,nfd8u3q7kdlu,78,Countries
9,Egypt,1,71.8,mq9p1a54t26w,71,Countries
9,Egypt,1,71.8,svdxe9n1f3ku,71.1,Countries
9,Egypt,1,71.8,6p84ypzofiiy,71.9,Countries
9,Egypt,1,71.8,15er40f6hrc7,74,Countries
9,Egypt,1,71.8,1jyepxdsepby,71,Countries
9,Egypt,1,71.8,un90iavtgolm,70.8,Countries
9,Egypt,1,71.8,8xds32cqrhlg,71,Countries
9,Egypt,1,71.8,830wmzipl92b,76,Countries
9,Egypt,1,71.8,ap09bdriiaxs,72,Countries
9,Egypt,1,71.8,f7wkplh1kr5z,71.8,Countries
9,Egypt,1,71.8,rj8dmpyn2563,71,Countries
9,Egypt,1,71.8,1r4upum7lxhi,75,Countries
9,Egypt,1,71.8,j76opfa4wjzj,78,Countries
9,Egypt,1,71.8,efuhrzbhjnwg,72,Countries
9,Egypt,1,71.8,nkfzm8e0mtcu,71,Countries
9,Egypt,1,71.8,6pjob01zppal,71.8,Countries
9,Egypt,1,71.8,19x6o075e4oy,71.8,Countries
9,Egypt,1,71.8,ovd5s5i79kru,71.8,Countries
9,Egypt,1,71.8,a1yt5ymbgc4m,85,Countries
9,Egypt,1,71.8,1nziths5mtj0,73,Countries
9,Egypt,1,71.8,oi136bu0srj9,73,Countries
9,Egypt,1,71.8,i6xr02yzsoee,71.6,Countries
9,Egypt,1,71.8,8pxa6oh4ylfk,70.1,Countries
9,Egypt,1,71.8,5p4nqbumcod1,72,Countries
9,Egypt,1,71.8,nxibx285n3rn,70,Countries
9,Egypt,1,71.8,kesc2p7oa7me,73,Countries
9,Egypt,1,71.8,okeobbnlodto,76,Countries
9,Egypt,1,71.8,sbydcgc89frj,71.8,Countries
9,Egypt,1,71.8,vzgw3yufjpr4,75,Countries
10,Vietnam,0,74.7,n11xewpgbxj4,71,Countries
10,Vietnam,0,74.7,munr1sh9ezc8,75,Countries
10,Vietnam,0,74.7,7k1k3a6issm1,70,Countries
10,Vietnam,0,74.7,4n5e6nkj21xl,75,Countries
10,Vietnam,0,74.7,k5d1wxxqlmni,70,Countries
10,Vietnam,0,74.7,xwvj2v8391m1,73,Countries
10,Vietnam,0,74.7,x7t9moqpn7du,70,Countries
10,Vietnam,0,74.7,cu4jzug5dshc,78,Countries
10,Vietnam,0,74.7,p1zg6qqoufvv,78,Countries
10,Vietnam,0,74.7,wlfzyxtuin3l,78,Countries
10,Vietnam,0,74.7,hpajcjzog48v,65,Countries
